user_id,product_id,action_type,timestamp,product_type,session_id,device,region
1,709,search,2024-06-22 00:00:00,tablet,sess_1_2824,mobile,DN
1,709,click,2024-06-22 00:15:00,tablet,sess_1_2824,mobile,DN
1,709,view,2024-06-22 00:30:00,tablet,sess_1_2824,mobile,DN
1,709,view,2024-06-22 00:45:00,tablet,sess_1_2824,mobile,DN
1,709,add_to_cart,2024-06-22 01:00:00,tablet,sess_1_2824,mobile,DN
1,709,view,2024-06-22 01:15:00,tablet,sess_1_2824,mobile,DN
1,709,add_to_cart,2024-06-22 01:30:00,tablet,sess_1_2824,mobile,DN
1,709,purchase,2024-06-22 01:45:00,tablet,sess_1_2824,mobile,DN
2,686,search,2024-02-29 00:00:00,laptop,sess_2_9935,mobile,HP
2,686,click,2024-02-29 00:15:00,laptop,sess_2_9935,mobile,HP
2,686,view,2024-02-29 00:30:00,laptop,sess_2_9935,mobile,HP
2,686,view,2024-02-29 00:45:00,laptop,sess_2_9935,mobile,HP
2,686,add_to_cart,2024-02-29 01:00:00,laptop,sess_2_9935,mobile,HP
2,686,view,2024-02-29 01:15:00,laptop,sess_2_9935,mobile,HP
2,686,add_to_cart,2024-02-29 01:30:00,laptop,sess_2_9935,mobile,HP
2,686,purchase,2024-02-29 01:45:00,laptop,sess_2_9935,mobile,HP
3,669,view,2024-05-19 00:00:00,tablet,sess_3_9279,tablet,HN
3,669,click,2024-05-19 00:15:00,tablet,sess_3_9279,tablet,HN
3,669,view,2024-05-19 00:30:00,tablet,sess_3_9279,tablet,HN
3,669,chat,2024-05-19 00:45:00,tablet,sess_3_9279,tablet,HN
3,669,chat,2024-05-19 01:00:00,tablet,sess_3_9279,tablet,HN
3,669,view,2024-05-19 01:15:00,tablet,sess_3_9279,tablet,HN
3,669,view,2024-05-19 01:30:00,tablet,sess_3_9279,tablet,HN
3,669,search,2024-05-19 01:45:00,tablet,sess_3_9279,tablet,HN
4,665,search,2024-02-10 00:00:00,male-fashion,sess_4_7873,mobile,CT
4,665,click,2024-02-10 00:15:00,male-fashion,sess_4_7873,mobile,CT
4,665,view,2024-02-10 00:30:00,male-fashion,sess_4_7873,mobile,CT
4,665,view,2024-02-10 00:45:00,male-fashion,sess_4_7873,mobile,CT
4,665,add_to_cart,2024-02-10 01:00:00,male-fashion,sess_4_7873,mobile,CT
4,665,view,2024-02-10 01:15:00,male-fashion,sess_4_7873,mobile,CT
4,665,add_to_cart,2024-02-10 01:30:00,male-fashion,sess_4_7873,mobile,CT
4,665,purchase,2024-02-10 01:45:00,male-fashion,sess_4_7873,mobile,CT
5,721,search,2024-04-07 00:00:00,tablet,sess_5_7924,desktop,DN
5,721,search,2024-04-07 00:15:00,tablet,sess_5_7924,desktop,DN
5,721,click,2024-04-07 00:30:00,tablet,sess_5_7924,desktop,DN
5,721,view,2024-04-07 00:45:00,tablet,sess_5_7924,desktop,DN
5,721,click,2024-04-07 01:00:00,tablet,sess_5_7924,desktop,DN
5,721,view,2024-04-07 01:15:00,tablet,sess_5_7924,desktop,DN
5,721,search,2024-04-07 01:30:00,tablet,sess_5_7924,desktop,DN
5,721,view,2024-04-07 01:45:00,tablet,sess_5_7924,desktop,DN
6,663,search,2024-05-17 00:00:00,male-fashion,sess_6_2584,desktop,DN
6,663,click,2024-05-17 00:15:00,male-fashion,sess_6_2584,desktop,DN
6,663,view,2024-05-17 00:30:00,male-fashion,sess_6_2584,desktop,DN
6,663,view,2024-05-17 00:45:00,male-fashion,sess_6_2584,desktop,DN
6,663,add_to_cart,2024-05-17 01:00:00,male-fashion,sess_6_2584,desktop,DN
6,663,view,2024-05-17 01:15:00,male-fashion,sess_6_2584,desktop,DN
6,663,add_to_cart,2024-05-17 01:30:00,male-fashion,sess_6_2584,desktop,DN
6,663,purchase,2024-05-17 01:45:00,male-fashion,sess_6_2584,desktop,DN
7,670,view,2024-04-02 00:00:00,male-fashion,sess_7_3045,desktop,HN
7,670,click,2024-04-02 00:15:00,male-fashion,sess_7_3045,desktop,HN
7,670,view,2024-04-02 00:30:00,male-fashion,sess_7_3045,desktop,HN
7,670,chat,2024-04-02 00:45:00,male-fashion,sess_7_3045,desktop,HN
7,670,chat,2024-04-02 01:00:00,male-fashion,sess_7_3045,desktop,HN
7,670,view,2024-04-02 01:15:00,male-fashion,sess_7_3045,desktop,HN
7,670,view,2024-04-02 01:30:00,male-fashion,sess_7_3045,desktop,HN
7,670,search,2024-04-02 01:45:00,male-fashion,sess_7_3045,desktop,HN
8,735,search,2024-02-29 00:00:00,tablet,sess_8_4150,tablet,HN
8,735,search,2024-02-29 00:15:00,tablet,sess_8_4150,tablet,HN
